实际值	预测值
1	0.999348
1	1.0687449
1	1.0585114
1	0.9840762
1	1.1045212
1	1.0120493
1	1.0063176
1	0.99165934
1	1.0000981
1	1.0009481
1	1.1210278
1	1.1862541
1	1.0885123
1	0.9662044
1	0.99877536
1	1.0004251
1	1.0314884
1	1.0052061
1	1.1407087
1	1.0034136
1	0.98142344
1	0.99979186
1	0.99601936
1	1.0627241
1	1.045422
1	0.9974706
1	0.9999598
1	1.0138994
1	1.0073599
1	0.98816776
1	1.0963793
1	1.0057294
1	1.0036905
1	1.00155
1	1.0275959
1	1.1929917
1	1.0531018
1	0.9906657
1	1.0655315
1	0.9993839
1	1.0024775
1	0.99663365
1	0.99604636
1	0.98553807
1	0.9803671
2	1.3270271
1	1.0002582
1	0.98329705
1	1.0014303
1	1.0629764
1	0.9934607
1	1.0088354
1	0.99903226
1	1.0046071
1	1.0059699
1	0.99684256
1	1.0115641
1	1.0035217
2	1.40556
1	0.9875439
1	0.99836236
1	0.9954751
1	0.9890709
1	1.0064412
